address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
"103 - 14885 105 Avenue, Surrey, BC",2,2,934 sqft,,1,"$2,179",2003,R2899365,Residential,Yes,,$615,01/07/2024,"$570,000",24/06/2024,"$575,000"
"618 - 10777 138 Street, Surrey, BC",2,2,780 sqft,,1,,2024,R2882095,Residential,Yes,,$870,26/06/2024,"$665,000",12/05/2024,"$678,880"
"18660 60 A Avenue, Surrey, BC",3,2,1607 sqft,,0,"$4,773",1988,R2890297,Residential,Yes,,$871,25/06/2024,"$1,375,000",03/06/2024,"$1,399,999"
"103 - 9765 140 Street, Surrey, BC",2,2,978 sqft,,1,"$1,984",1992,R2896572,Residential,Yes,,$598,24/06/2024,"$580,000",18/06/2024,"$584,900"
"225 - 15138 34 Avenue, Surrey, BC",2,2,911 sqft,,2,"$2,401",2018,R2897207,Residential,Yes,,$712,24/06/2024,"$649,000",18/06/2024,"$649,000"
"3212 - 13696 100 Avenue, Surrey, BC",2,1,656 sqft,,1,"$2,212",2017,R2895678,Residential,Yes,,$760,24/06/2024,"$525,000",16/06/2024,"$499,000"
"8316 169 A Street, Surrey, BC",4,2,2541 sqft,,9,"$5,158",1997,R2898130,Residential,Yes,,$668,24/06/2024,"$1,670,000",20/06/2024,"$1,699,900"
"74 - 6050 166 Street, Surrey, BC",3,3,2289 sqft,,3,"$3,747",2004,R2894602,Residential,Yes,,$436,23/06/2024,"$965,000",12/06/2024,"$999,800"
"210 - 10092 148 Th Street, Surrey, BC",2,2,958 sqft,,1,"$2,218",2006,R2890355,Residential,Yes,,$573,23/06/2024,"$510,000",03/06/2024,"$549,000"
"1 - 14955 60 Avenue, Surrey, BC",4,3,1693 sqft,,4,"$3,473",2012,R2895038,Residential,Yes,,$531,23/06/2024,"$908,000",13/06/2024,"$900,000"
"105 - 10468 148 Street, Surrey, BC",2,1,871 sqft,,1,"$1,840",1985,R2889668,Residential,Yes,,$516,23/06/2024,"$440,000",02/06/2024,"$449,900"
"1 - 15273 24 Avenue, Surrey, BC",3,2,1710 sqft,,2,"$2,955",1991,R2897288,Residential,Yes,,$526,23/06/2024,"$895,000",20/06/2024,"$899,900"
"16825 80 Avenue, Surrey, BC",5,3,3237 sqft,,4,"$6,076",1997,R2891324,Residential,Yes,,$523,23/06/2024,"$1,620,000",05/06/2024,"$1,695,000"
"22 - 12711 64 Street, Surrey, BC",3,2,1997 sqft,,2,"$3,426",2004,R2892226,Residential,Yes,,$445,23/06/2024,"$853,500",09/06/2024,"$889,000"
"26 - 6555 192 A Street, Surrey, BC",3,2,1432 sqft,,3,"$3,040",2005,R2884651,Residential,Yes,,$557,23/06/2024,"$790,000",20/05/2024,"$798,000"
"202 - 16433 64 Avenue, Surrey, BC",2,2,1476 sqft,,2,"$2,957",2010,R2884144,Residential,Yes,,$687,23/06/2024,"$975,000",16/05/2024,"$1,015,000"
"3699 Nico Wynd Drive, Surrey, BC",3,2,2252 sqft,,4,"$4,766",1983,R2875681,Residential,Yes,,$678,23/06/2024,"$1,460,000",24/04/2024,"$1,529,000"
"21 - 3618 150 Street, Surrey, BC",3,3,2166 sqft,,4,"$4,480",2018,R2894122,Residential,Yes,,$640,23/06/2024,"$1,330,000",09/06/2024,"$1,388,000"
"103 - 1685 152 A Street, Surrey, BC",2,2,975 sqft,,1,"$2,155",2002,R2893205,Residential,Yes,,$600,23/06/2024,"$568,000",10/06/2024,"$585,000"
"305 - 14588 Mcdougall Drive, Surrey, BC",2,2,1562 sqft,,2,"$2,972",2021,R2876063,Residential,Yes,,$632,22/06/2024,"$962,000",28/04/2024,"$988,000"
"14417 16 Avenue, Surrey, BC",4,2,2368 sqft,,4,"$4,670",1979,R2890360,Residential,No,,$519,22/06/2024,"$1,175,000",03/06/2024,"$1,230,000"
"33 - 19455 65 Avenue, Surrey, BC",3,2,1432 sqft,,2,"$2,988",2006,R2897501,Residential,Yes,,$572,22/06/2024,"$819,900",19/06/2024,"$819,900"
"30 - 8254 134 Street, Surrey, BC",2,2,1152 sqft,,2,$623,1980,R2861615,Residential,No,,$328,22/06/2024,"$374,000",24/03/2024,"$378,800"
"167 - 14150 58 A Avenue, Surrey, BC",3,2,1201 sqft,,2,,2024,R2899479,Residential,Yes,,$666,22/06/2024,"$799,900",22/06/2024,"$799,900"
